,緯度,經度,圖示,顏色,名稱,碗　　數,得獎菜色,菜　　系,評　　審,地　　址,電　　話,geometry,index_right,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,縣市,鄉鎮區
22,25.043401,121.548439,<i class='fas fa-utensils'></i>,#198754,牛肉麵．雞湯,&#127836; (1碗),香辣乾拌麵,中式,Nick Wu吳盈憲,106台北市大安區敦化南路1段164號,02 2778 7776,POINT (121.548439 25.043401),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
23,25.048955,121.542262,<i class='fas fa-utensils'></i>,#198754,牛家村,&#127836; (1碗),牛肉燴飯＆牛肉湯,台式,鍾愛銅板美食的貪吃鬼,10491台北市中山區遼寧街51號,02 2781 6189,POINT (121.542262 25.048955),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
24,25.056678,121.515486,<i class='fas fa-utensils'></i>,#198754,牛媽媽沙茶牛肉,&#127836; (1碗),焢肉飯,台式,Nobu Lee,103台北市大同區寧夏路第44號攤位,0935 545 005,POINT (121.515486 25.056678),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
25,25.047976,121.546068,<i class='fas fa-utensils'></i>,#198754,王記府城肉粽,&#127836; (1碗),粽子,台式,沈玉琳,台北市松山區八德路二段374號,02 2775 4032,POINT (121.546068 25.047976),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
26,25.043616,121.526883,<i class='fas fa-utensils'></i>,#198754,以馬內利鮮魚湯,&#127836; (1碗),乾麵、鮮魚湯,台式,謝維智,100台北市中正區杭州南路一段3號,02 2351 5378,POINT (121.526883 25.043616),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
27,25.052051,121.544596,<i class='fas fa-utensils'></i>,#198754,兄弟大飯店 梅花廳,&#127836; (1碗),腐皮海鮮捲,港式,劉書甫,105台北市松山區南京東路三段255號2-3樓,02 2712 3456#2188,POINT (121.544596 25.052051),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
28,25.039688,121.52306,<i class='fas fa-utensils'></i>,#198754,龍門客棧餃子館（林森店）,&#127836; (1碗),水餃,台式,莫莉,100台北市中正區林森南路61巷19號,02 2351 0729,POINT (121.52306 25.039688),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
29,25.053744,121.531137,<i class='fas fa-utensils'></i>,#198754,史記正宗牛肉麵,&#127836; (1碗),清燉牛肉麵（半筋半肉）,台式,葉裕清,10491台北市中山區四平街19號,02 2563 3836,POINT (121.531137 25.053744),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
30,25.041291,121.52679,<i class='fas fa-utensils'></i>,#198754,巧之味手工水餃（濟南店）,&#127836; (1碗),干貝水餃,台式,Nobu Lee,100台北市中正區濟南路二段6號,02 2321 4693,POINT (121.52679 25.041291),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
31,25.050631,121.565577,<i class='fas fa-utensils'></i>,#198754,市民大道涮涮鍋東興店,&#127836; (1碗),涮涮鍋,日式,Lulu黃路梓茵,105台北市松山區東興路1號,02 2761 1887,POINT (121.565577 25.050631),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
32,25.04982,121.542073,<i class='fas fa-utensils'></i>,#198754,正記麻油料理,&#127836; (1碗),筒仔米糕,台式,陳陸寬,104台北市中山區遼寧街朱崙街,0939 671 850,POINT (121.542073 25.04982),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
33,25.056943,121.515108,<i class='fas fa-utensils'></i>,#198754,冰霖古早味豆花,&#127836; (1碗),芋圓豆花,台式,莫莉,103台北市大同區民生西路210號,02 2558 1800,POINT (121.515108 25.056943),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
34,25.025235,121.522386,<i class='fas fa-utensils'></i>,#198754,同心大腸蚵仔麵線,&#127836; (1碗),臭豆腐,台式,唐綺陽,100台北市中正區同安街16號,02 2362 0511,POINT (121.522386 25.025235),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
35,25.022992,121.520977,<i class='fas fa-utensils'></i>,#198754,同安街麵線羹,&#127836; (1碗),臭豆腐,台式,鍾愛銅板美食的貪吃鬼,100台北市中正區同安街85-1號,02 2368 4231,POINT (121.520977 25.022992),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
36,25.060295,121.511951,<i class='fas fa-utensils'></i>,#198754,江家原汁排骨湯,&#127836; (1碗),排骨湯,台式,王耀邦,103台北市大同區保安街49巷,0936 154 405,POINT (121.511951 25.060295),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
37,25.060908,121.564834,<i class='fas fa-utensils'></i>,#198754,老車滷味,&#127836; (1碗),滷味,台式,楊馥如,105台北市松山區三民路136巷,,POINT (121.564834 25.060908),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
38,25.026123,121.552047,<i class='fas fa-utensils'></i>,#198754,老杭家 麵食館,&#127836; (1碗),冰糖蹄花,台式,陳志煌,10678台北市大安區樂利路73號,02 2732 2337,POINT (121.552047 25.026123),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
39,25.057645,121.560506,<i class='fas fa-utensils'></i>,#198754,老楊在二樓,&#127836; (1碗),茶湯牛肉麵,台式,吳羽傑,105台北市松山區新中街9號二樓,,POINT (121.560506 25.057645),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
40,25.052956,121.528673,<i class='fas fa-utensils'></i>,#198754,老麵攤,&#127836; (1碗),泰式冬粉（乾）,泰式,迪拉,104台北市中山區南京東路二段21巷24號,0960 764 116,POINT (121.528673 25.052956),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
41,25.053611,121.51908,<i class='fas fa-utensils'></i>,#198754,赤峰街無名排骨飯,&#127836; (1碗),芥蘭牛肉飯便當,台式,葉裕清,103台北市大同區赤峰街4號,,POINT (121.51908 25.053611),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
42,25.059402,121.512691,<i class='fas fa-utensils'></i>,#198754,呷二嘴,&#127836; (1碗),米苔目冰,台式,洪子仁,103台北市大同區甘州街34號,02 2557 0780,POINT (121.512691 25.059402),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
43,25.018642,121.559078,<i class='fas fa-utensils'></i>,#198754,和記豆漿店,&#127836; (1碗),燒餅夾蛋＋鹹豆漿,台式,葉裕清,110台北市信義區和平東路三段463巷2之2號,02 2733 5473,POINT (121.559078 25.018642),333,A17,63000020,臺北市,信義區,Xinyi District,A,63000,臺北市,信義區
44,25.02748,121.55544,<i class='fas fa-utensils'></i>,#198754,明月湯包,&#127836; (1碗),明月湯包,台式,4foodie,106台北市大安區通化街171巷40號1樓,02 2736 7192,POINT (121.55544 25.02748),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
45,25.045816,121.557612,<i class='fas fa-utensils'></i>,#198754,東引快刀手（光復店）,&#127836; (1碗),招牌麵（牛油麻醬）,台式,迪拉,105台北市松山區光復南路54號,02 2577 7787,POINT (121.557612 25.045816),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
46,25.045943,121.577988,<i class='fas fa-utensils'></i>,#198754,松山割包,&#127836; (1碗),割包＋玉米排骨湯,台式,沈玉琳,110台北市信義區松山路179號,02 2756 7426,POINT (121.577988 25.045943),333,A17,63000020,臺北市,信義區,Xinyi District,A,63000,臺北市,信義區
47,25.047236,121.542992,<i class='fas fa-utensils'></i>,#198754,林東芳牛肉麵,&#127836; (1碗),牛肉麵＋小菜,台式,沈玉琳,104台北市中山區八德路二段322號,02 2752 2556,POINT (121.542992 25.047236),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
48,25.030207,121.514147,<i class='fas fa-utensils'></i>,#198754,林家乾麵,&#127836; (1碗),大碗乾麵,台式,陳陸寬,100台北市中正區泉州街11號,02 2339 7387,POINT (121.514147 25.030207),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
49,25.039335,121.578008,<i class='fas fa-utensils'></i>,#198754,金仙魯肉飯（松山店）,&#127836; (1碗),魯肉飯,台式,Nobu Lee,110台北市信義區松山路473號,02 2727 2267,POINT (121.578008 25.039335),333,A17,63000020,臺北市,信義區,Xinyi District,A,63000,臺北市,信義區
50,25.030259,121.528257,<i class='fas fa-utensils'></i>,#198754,金華街咖哩屋,&#127836; (1碗),羊肉咖哩佐薑黃飯,印度,馬世芳,10642台北市大安區金華街199巷1弄4號,02 2341 1371,POINT (121.528257 25.030259),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
51,25.043898,121.524815,<i class='fas fa-utensils'></i>,#198754,阜杭豆漿,&#127836; (1碗),內用豆漿,台式,陳陸寬,100台北市中正區忠孝東路一段108號2樓,02 2392 2175,POINT (121.524815 25.043898),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
52,25.057397,121.517795,<i class='fas fa-utensils'></i>,#198754,阿桐阿寶四神湯,&#127836; (1碗),四神湯,台式,唐綺陽,103台北市大同區民生西路153號,02 2557 6926,POINT (121.517795 25.057397),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
53,25.041687,121.505271,<i class='fas fa-utensils'></i>,#198754,阿財虱目魚肚,&#127836; (1碗),魯魚肚,台式,林裕森,108台北市萬華區內江街53號,02 2370 3378,POINT (121.505271 25.041687),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
54,25.047838,121.541383,<i class='fas fa-utensils'></i>,#198754,阿財彰化肉圓,&#127836; (1碗),肉圓,台式,王耀邦,10491台北市中山區龍江路21巷13號,02 2751 7426,POINT (121.541383 25.047838),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
55,25.063995,121.511235,<i class='fas fa-utensils'></i>,#198754,阿寶師台東鱔魚麵,&#127836; (1碗),炒鱔魚,台式,洪子仁,103台北市大同區延平北路三段19-1號號攤位,0920 682 902,POINT (121.511235 25.063995),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
56,25.060726,121.561705,<i class='fas fa-utensils'></i>,#198754,青島水餃,&#127836; (1碗),水餃,中式,Lulu黃路梓茵,105台北市松山區富錦街442之3號,02 2763 0702,POINT (121.561705 25.060726),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
57,25.037795,121.578104,<i class='fas fa-utensils'></i>,#198754,施家麻油腰花,&#127836; (1碗),魯肉飯,台式,莫莉,110台北市信義區松山路538-2號,0970 193 121,POINT (121.578104 25.037795),333,A17,63000020,臺北市,信義區,Xinyi District,A,63000,臺北市,信義區
58,25.034316,121.531077,<i class='fas fa-utensils'></i>,#198754,信遠齋 燻雞·滷味,&#127836; (1碗),燻五花肉,台式,馬世芳,100台北市中正區新生南路一段170巷15號,02 2391 0020,POINT (121.531077 25.034316),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
59,25.041788,121.54789,<i class='fas fa-utensils'></i>,#198754,美景紅油抄手,&#127836; (1碗),紅油抄手,中式,4foodie,106台北市大安區忠孝東路四段97號B1,02 2781 9004,POINT (121.54789 25.041788),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
60,25.057851,121.520489,<i class='fas fa-utensils'></i>,#198754,香滿圓,&#127836; (1碗),魯肉飯,台式,劉克襄,103台北市大同區萬全街8巷,02 2557 2229,POINT (121.520489 25.057851),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
61,25.007627,121.534146,<i class='fas fa-utensils'></i>,#198754,師大分部臭豆腐,&#127836; (1碗),炸臭豆腐,台式,吳羽傑,116台北市文山區溪州街82巷,0972 231 911,POINT (121.534146 25.007627),153,A11,63000080,臺北市,文山區,Wenshan District,A,63000,臺北市,文山區
62,25.086361,121.525047,<i class='fas fa-utensils'></i>,#198754,家鄉碳烤香雞排（士林店）,&#127836; (1碗),碳烤雞排,台式,Lulu黃路梓茵,111台北市士林區基河路1號,0956 258 702,POINT (121.525047 25.086361),339,A15,63000110,臺北市,士林區,Shilin District,A,63000,臺北市,士林區
63,25.04727,121.553543,<i class='fas fa-utensils'></i>,#198754,秦小姐豆漿店,&#127836; (1碗),鹹豆漿,台式,4foodie,105台北市松山區延吉街7-6號,02 2570 5589,POINT (121.553543 25.04727),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
64,24.989596,121.541479,<i class='fas fa-utensils'></i>,#198754,高 雙管四神湯,&#127836; (1碗),雙管四神湯,台式,唐綺陽,116台北市文山區景美街139號,0933 687 611,POINT (121.541479 24.989596),153,A11,63000080,臺北市,文山區,Wenshan District,A,63000,臺北市,文山區
65,25.065786,121.544149,<i class='fas fa-utensils'></i>,#198754,國手肉骨茶,&#127836; (1碗),綜合肉骨茶,台式,王耀邦,10491台北市中山區復興北路510號,02 2515 9268,POINT (121.544149 25.065786),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
66,25.026702,121.551827,<i class='fas fa-utensils'></i>,#198754,御炒牛 A Class Beef,&#127836; (1碗),南洋咖哩炒牛肉搭法國麵包,台式,迪拉,106台北市大安區樂利路47號,02 2377 0768,POINT (121.551827 25.026702),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
67,25.043635,121.546283,<i class='fas fa-utensils'></i>,#198754,欲罷不能鹹水雞東區商圈店,&#127836; (1碗),雞翅,台式,Nick Wu吳盈憲,10691台北市大安區大安路一段41號,0930 189 193,POINT (121.546283 25.043635),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
68,25.040065,121.500096,<i class='fas fa-utensils'></i>,#198754,涼粉伯,&#127836; (1碗),古早味涼粉,台式,Hally Chen,108台北市萬華區貴陽街二段202號,,POINT (121.500096 25.040065),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
69,25.049169,121.552696,<i class='fas fa-utensils'></i>,#198754,莫宰羊（松山北寧店）,&#127836; (1碗),羊肉爐,台式,沈玉琳,105台北市松山區北寧路30號,02 2577 5415,POINT (121.552696 25.049169),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
70,25.060511,121.511948,<i class='fas fa-utensils'></i>,#198754,許仔豬腳麵線,&#127836; (1碗),豬腳湯,台式,王耀邦,103台北市大同區保安街49巷17號,0952 005 739,POINT (121.511948 25.060511),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
71,25.052795,121.560657,<i class='fas fa-utensils'></i>,#198754,陳家涼麵,&#127836; (1碗),涼麵＋湯,台式,沈玉琳,105台北市松山區南京東路五段123巷29號,02 2766 0171,POINT (121.560657 25.052795),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
72,25.025037,121.544342,<i class='fas fa-utensils'></i>,#198754,陳記腸蚵麵線（大安店）,&#127836; (1碗),綜合麵線,台式,唐綺陽,106台北市大安區和平東路二段279號,02 2703 3585,POINT (121.544342 25.025037),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
73,25.036651,121.497726,<i class='fas fa-utensils'></i>,#198754,頂級甜不辣,&#127836; (1碗),甜不辣,台式,陳亞蘭,108台北市萬華區廣州街梧州街口,02 2302 6022,POINT (121.497726 25.036651),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
74,25.104363,121.522793,<i class='fas fa-utensils'></i>,#198754,勝口味（芝山店）,&#127836; (1碗),大腸蚵仔麵線,台式,Hally Chen,111台北市士林區福華路164巷7號,02 2833 3567,POINT (121.522793 25.104363),339,A15,63000110,臺北市,士林區,Shilin District,A,63000,臺北市,士林區
75,25.041634,121.569006,<i class='fas fa-utensils'></i>,#198754,彭記臭豆腐,&#127836; (1碗),臭豆腐,台式,唐綺陽,110台北市信義區忠孝東路五段165巷3弄5號,02 8787 4628,POINT (121.569006 25.041634),333,A17,63000020,臺北市,信義區,Xinyi District,A,63000,臺北市,信義區
76,25.094993,121.523737,<i class='fas fa-utensils'></i>,#198754,華榮市場口甜不辣,&#127836; (1碗),甜不辣,台式,江振誠,111台北市士林區中正路284號,,POINT (121.523737 25.094993),339,A15,63000110,臺北市,士林區,Shilin District,A,63000,臺北市,士林區
77,25.060653,121.547706,<i class='fas fa-utensils'></i>,#198754,黃金麵線,&#127836; (1碗),綜合麵線,台式,陳耀訓,105台北市松山區民權東路三段160巷15號,0939 086 155,POINT (121.547706 25.060653),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
78,25.057846,121.566181,<i class='fas fa-utensils'></i>,#198754,新東街東山鴨頭,&#127836; (1碗),米腸＆花干＆米血＆鴨頭,台式,唐綺陽,105台北市松山區新東街14號,0953 288 158,POINT (121.566181 25.057846),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
79,25.026247,121.53037,<i class='fas fa-utensils'></i>,#198754,溫州街蘿蔔絲餅達人,&#127836; (1碗),蘿蔔絲餅,台式,馬世芳,106台北市大安區和平東路一段186-1號,02 2369 5649,POINT (121.53037 25.026247),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
80,25.060249,121.512113,<i class='fas fa-utensils'></i>,#198754,葉家肉粥,&#127836; (1碗),肉粥＋炸三鮮,台式,王耀邦,103台北市大同區保安街49巷17號,0916 836 699,POINT (121.512113 25.060249),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
81,25.033709,121.546166,<i class='fas fa-utensils'></i>,#198754,鼎旺麻辣鍋,&#127836; (1碗),午間限定麻辣牛肉麵,台式,陳陸寬,106台北市大安區大安路一段251號,02 2704 4172,POINT (121.546166 25.033709),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
82,25.056892,121.52895,<i class='fas fa-utensils'></i>,#198754,廖家牛肉麵（中原街）,&#127836; (1碗),牛肉麵,台式,洪子仁,104台北市中山區中原街39號,0983 898 707,POINT (121.52895 25.056892),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
83,25.080534,121.580368,<i class='fas fa-utensils'></i>,#198754,碧山岩 桶仔雞,&#127836; (1碗),桶仔雞,台式,Lulu黃路梓茵,114台北市內湖區內湖路一段737巷51弄32號1樓,,POINT (121.580368 25.080534),367,A14,63000100,臺北市,內湖區,Neihu District,A,63000,臺北市,內湖區
84,25.038626,121.546967,<i class='fas fa-utensils'></i>,#198754,億頓排骨,&#127836; (1碗),排骨飯,台式,唐綺陽,106台北市大安區仁愛路四段91巷19號,02 2771 5283,POINT (121.546967 25.038626),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
85,25.044041,121.546079,<i class='fas fa-utensils'></i>,#198754,劉記傳統美食,&#127836; (1碗),炸臭豆腐,台式,4foodie,106台北市大安區大安路一段22號,0932 219 581,POINT (121.546079 25.044041),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
86,25.046136,121.559679,<i class='fas fa-utensils'></i>,#198754,劉媽媽涼麵,&#127836; (1碗),涼麵,台式,Nobu Lee,105台北市松山區市民大道五段37號,02 8787 2093,POINT (121.559679 25.046136),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
87,25.037888,121.508031,<i class='fas fa-utensils'></i>,#198754,樺林乾麵,&#127836; (1碗),乾麵＋綜合湯,台式,葉裕清,100台北市中正區中華路一段91巷15號,02 2331 6371,POINT (121.508031 25.037888),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
88,25.043329,121.542555,<i class='fas fa-utensils'></i>,#198754,燒喔！抄手麵食館,&#127836; (1碗),排骨蛋炒飯,台式,4foodie,106台北市大安區安東街45-6號,0978 051 815,POINT (121.542555 25.043329),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
89,25.056233,121.515384,<i class='fas fa-utensils'></i>,#198754,鴨頭正二代滷肉飯,&#127836; (1碗),蛋包瓜仔肉湯,台式,Nobu Lee,103台北市大同區寧夏路40號,02 2553 4341,POINT (121.515384 25.056233),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
