index,緯度,經度,圖示,顏色,名稱,得獎菜色,地　　址,電　　話,縣市,鄉鎮區,評價,碗　　數,網址
15,25.065828,121.523902,<i class='fas fa-utensils'></i>,#198754,隱食家,鮮蚵芙蓉蛋,104臺北市中山區雙城街28巷8號,02 2595 8055,臺北市,中山區,338,4.5,https://www.facebook.com/JacklovesVivien/
16,25.060739,121.522818,<i class='fas fa-utensils'></i>,#198754,人和園,大薄片、雞油豌豆,104臺北市中山區中山北路二段112號2樓,02 2536 4459,臺北市,中山區,2090,4.4,https://www.facebook.com/ren.he.yuan
17,25.054153,121.552536,<i class='fas fa-utensils'></i>,#198754,金賞軒,香根牛肉、三杯燜雞,105臺北市松山區敦化北路155巷111號,02 8770 6086,臺北市,松山區,940,4.7,https://www.facebook.com/jsh.cuisine
18,25.043739,121.505816,<i class='fas fa-utensils'></i>,#198754,老山東牛肉家常麵店,牛肉麵、豬頭肉晶凍,108臺北市萬華區西寧南路70號B1之15室,02 2389 1216,臺北市,萬華區,3741,4.1,https://www.facebook.com/people/%E8%A5%BF%E9%96%80%E7%94%BA%E8%90%AC%E5%B9%B4%E8%80%81%E5%B1%B1%E6%9D%B1%E7%89%9B%E8%82%89%E5%AE%B6%E5%B8%B8%E9%BA%B5%E5%BA%97/100063996855194/
19,25.039903,121.544819,<i class='fas fa-utensils'></i>,#198754,小小樹食 （大安路）,泰式打拋佛陀碗、紅油皮蛋豆腐餃,106臺北市大安區大安路一段116巷17號,02 2778 2277,臺北市,大安區,2251,4.3,https://linktr.ee/littletreefood
20,25.061135,121.509892,<i class='fas fa-utensils'></i>,#198754,賣麵炎仔,湯麵、燒肉、白斬雞、花枝,103臺北市大同區安西街106號,02 2557 7087,臺北市,大同區,5040,4.2,https://www.facebook.com/noodleyeh/
21,25.048438,121.542635,<i class='fas fa-utensils'></i>,#198754,茂園,蒜泥鮮蚵、鹽冬瓜蒸時令魚、白斬雞,104臺北市中山區長安東路二段185號,02 2752 8587,臺北市,中山區,2822,4.1,http://www.maoyuan.tw/
22,25.0437146,121.5220421,<i class='fas fa-utensils'></i>,#198754,雙月食品 （青島東路）,古早味藥膳、雙月油飯、鮮蚵,100臺北市中正區青島東路6之2號,02 3393 8953,臺北市,中正區,20285,4.8,https://www.moonmoonfood.com/
23,25.0355832,121.5756859,<i class='fas fa-utensils'></i>,#198754,麵鋪,芋頭米粉,110臺灣臺北市信義區虎林街232巷75號,02 2759 8782,臺北市,信義區,329,4.6,nan
24,25.0325747,121.553654,<i class='fas fa-utensils'></i>,#198754,P?ng Taco 胖塔可,胭脂樹籽手撕豬,106臺北市大安區文昌街181號一樓,nan,臺北市,大安區,265,4.6,nan
25,25.033599,121.544685,<i class='fas fa-utensils'></i>,#198754,榮榮園,烤排骨、鐵板牛尾,106臺北市大安區信義路四段25號2樓,02 2703 8822,臺北市,信義區,2914,4.2,https://www.facebook.com/rongrongyuan0227038822
26,25.1178985,121.5328763,<i class='fas fa-utensils'></i>,#198754,番紅花印度美饌,喀拉拉雞肉咖哩、芫荽雞肉咖哩,111臺北市士林區天母東路38 之6號,02 2871 4842,臺北市,士林區,1519,4.5,https://inline.app/booking/-MdR7PVJY-bnD1apMziu:inline-live-2/-MdR7Pblk6laFtlxUJm0?language=zh-tw
27,25.02807737,121.5512985,<i class='fas fa-utensils'></i>,#198754,磐石坊,巴東牛肉、串燒、蜂巢爪哇炸雞、納豆餅,106臺北市大安區樂利路15號,02 2732 5048,臺北市,大安區,880,4.4,https://satehouse.eatingout.com.tw/
28,25.04437491,121.5217911,<i class='fas fa-utensils'></i>,#198754,祥和蔬食 （中正）,塔香脆腸,100臺北市中正區鎮江街1巷1號,02 2357 0377,臺北市,中正區,1364,4.4,https://www.serenity.com.tw/
29,25.05859629,121.6160675,<i class='fas fa-utensils'></i>,#198754,欣葉小聚 （南港）,紅蟳米糕、青龍皮皮挫,115臺北市南港區經貿二路166號A棟中國信託金融園區1樓,02 2785 1819,臺北市,南港區,1818,4.1,https://www.shinyeh.com.tw/content/zh/brand/Index.aspx?BrandId=3
30,25.0405891,121.5668678,<i class='fas fa-utensils'></i>,#198754,心潮飯店,厚炸排骨菜香炒飯、炙燒干貝烏魚子炒飯,110臺北市信義區忠孝東路五段68號,02 2723 9976,臺北市,信義區,8190,4.2,https://linktr.ee/sinchaoriceshoppe
31,25.0643108,121.534195,<i class='fas fa-utensils'></i>,#198754,軟食力,軟式粉漿蛋餅、飯糰、饅力堡,?104臺北市中山區民權東路二段135巷30弄21號,02 2502 9543,臺北市,中山區,1460,4.3,https://www.facebook.com/SOFTPOWERbrunch/?fref=ts
32,25.13985751,121.5676296,<i class='fas fa-utensils'></i>,#198754,松竹園,白斬古早雞、皮滑肉嫩、古早味滷肉、清蒸羊肉,111臺北市士林區永公路546號,02 2861 6261,臺北市,士林區,4950,4.3,https://www.28616261.com.tw
33,25.0447529,121.5458452,<i class='fas fa-utensils'></i>,#198754,泰姬,火紅乳酸碳烤雞、黑扁豆咖哩,106臺北市大安區市民大道四段48巷1號,02 8773 0175,臺北市,大安區,3231,4.7,https://drive.google.com/file/d/1678E3SXxEs_ibq9dAW3EYG0HmwrqbHpG/view?usp=drivesdk
34,25.0354905,121.5482563,<i class='fas fa-utensils'></i>,#198754,巷子龍家常菜,湖南金錢蛋、無錫排骨、上海菜飯,106臺北市大安區四維路25號,02 2325 4566,臺北市,大安區,674,3.9,https://www.facebook.com/talkingheadrestaurant/
35,25.0388889,121.5453142,<i class='fas fa-utensils'></i>,#198754,天下三絕,天下三絕牛肉麵,106臺北市大安區仁愛路四段27巷3號,02 2741 6299,臺北市,大安區,2481,4.3,https://www.facebook.com/noodle3.tw
36,25.0474746,121.5497502,<i class='fas fa-utensils'></i>,#198754,醉楓園小館,芋泥香酥鴨、瓊山豆腐、羊腩火鍋、魚頭火鍋,105臺北市松山區八德路三段8巷5號,02 2577 9528,臺北市,松山區,1513,4.4,nan
37,25.02841571,121.5066862,<i class='fas fa-utensils'></i>,#198754,無名推車燒餅,甜酥餅、長燒餅,100臺北市中正區中華路二段315巷5弄南機場夜市,nan,臺北市,中正區,580,3.5,nan
38,25.03925185,121.498603,<i class='fas fa-utensils'></i>,#198754,小王煮瓜,滷肉飯、清湯瓜仔肉,108臺北市萬華區華西街17之4號攤位153號,02 2370 7118,臺北市,萬華區,10606,4.1,https://drive.google.com/drive/folders/1u-9TAH6z2TGL3cXSA1P_2XceJD8GLTfr
39,25.02876724,121.5067256,<i class='fas fa-utensils'></i>,#198754,吾旺再季,松青潤餅,100臺北市中正區中華路二段313巷29號1 樓,0930 406 677,臺北市,中正區,811,4.3,nan
40,25.06309345,121.528863,<i class='fas fa-utensils'></i>,#198754,小品雅廚,紅燒蹄膀、乾燒茄子、滷白菜,104臺北市中山區中原街130號,02 2592 9924,臺北市,中山區,1218,4,https://www.facebook.com/people/%E5%B0%8F%E5%93%81%E9%9B%85%E5%BB%9A/100054412093760
41,25.04041333,121.5021706,<i class='fas fa-utensils'></i>,#198754,一甲子餐飲,焢肉飯、刈包、麻豆碗粿、豬血湯,108臺北市萬華區康定路79號,02 2311 5241,臺北市,萬華區,5220,4.4,https://www.facebook.com/Yi.Jia.Zi.Snack
42,25.03943123,121.4985781,<i class='fas fa-utensils'></i>,#198754,源芳刈包,刈包,108臺北市萬華區華西街17-2號,02 2381 0249,臺北市,萬華區,1883,4.4,nan
43,25.05079668,121.5141515,<i class='fas fa-utensils'></i>,#198754,元味料理,元味炒飯、松?肉,103臺北市大同區華陰街227巷2號,02 2559 0721,臺北市,大同區,290,4.4,nan
44,24.14308122,120.6823597,<i class='fas fa-utensils'></i>,#198754,阿坤麵,乾麵、水晶餃、油豆腐、綜合湯,400臺中市中區平等街142號,0955 923 877,臺中市,中區,1684,4.2,https://www.instagram.com/a_kun_mian/?igshid=yrbdz16ovimp
45,24.14766998,120.6632644,<i class='fas fa-utensils'></i>,#198754,繡球,冰糖?苦瓜,403臺中市西區中興街102號,0975 892 139,臺中市,西區,150,4.3,https://linktr.ee/asa0975892139?utm_source=linktree_profile_share&ltsid=97215d1d-9aa7-4d16-8fd1-50f71d5f16a8
46,24.14137628,120.6824658,<i class='fas fa-utensils'></i>,#198754,范記金之園 （中區）,排骨草袋飯、沙茶炒牛肉,400臺中市中區成功路170號,04 2220 7388,臺中市,中區,3732,4.1,https://www.facebook.com/chinchihyuan1978
47,24.20968463,120.5691403,<i class='fas fa-utensils'></i>,#198754,鳳記鵝肉老店,花枝麵(扁意麵),433臺中市沙鹿區屏西路170號,04 2631 4040,臺中市,沙鹿區,1280,4.1,nan
48,24.16127089,120.6920804,<i class='fas fa-utensils'></i>,#198754,鮮魚?,蝦仁飯、虱目魚、滷豬腳筋,404臺中市北區北屯路75號,04 2235 1186,臺中市,北區,1729,4,https://www.facebook.com/DashiFishStock
49,24.14526869,120.676579,<i class='fas fa-utensils'></i>,#198754,富鼎旺 （中區）,滷豬腳、腿扣、滷肉飯,400臺中市中區臺灣大道一段560號,04 2225 3188,臺中市,中區,2649,4.2,https://www.fudinwang.com
50,24.14987952,120.6619432,<i class='fas fa-utensils'></i>,#198754,富狀元豬腳,滷豬腳、腿扣、滷肉飯、筍絲,403臺中市西區美村路一段203號,04 2301 3588,臺中市,西區,3348,3.6,https://www.fu-deka.com
51,24.1401774,120.6782878,<i class='fas fa-utensils'></i>,#198754,富貴亭,當歸鵝肉麵線、燻鵝肉,400臺中市中區三民路二段18巷31號,04 2227 3001,臺中市,中區,1287,4.3,https://www.facebook.com/pages/%E5%AF%8C%E8%B2%B4%E4%BA%AD%E9%A3%B2%E9%A3%9F%E5%BA%97%E7%95%B6%E6%AD%B8%E9%B4%A8%E9%BA%B5%E7%B7%9A/171388802909885
52,24.13902716,120.6625052,<i class='fas fa-utensils'></i>,#198754,咕嚕咕嚕原住民音樂餐廳,部落放山春雞、排灣月桃米粽、泰雅馬告香腸,403臺中市西區五權西四街13巷2號,04 2378 3128,臺中市,西區,793,4.4,https://portaly.cc/gulu2001
53,24.15750702,120.6489366,<i class='fas fa-utensils'></i>,#198754,曙光居,非常麵、黃金脆皮鍋貼,407臺中市西屯區大墩十八街104號,04 2329 2322,臺中市,西屯區,479,4.3,https://www.facebook.com/hsiaanchu
54,24.15699737,120.6504284,<i class='fas fa-utensils'></i>,#198754,可口牛肉麵,紅燒半筋半肉牛肉麵、滷牛肚、海帶,407臺中市西屯區大墩路911號,04 2329 9789,臺中市,西屯區,1518,4.4,https://www.facebook.com/people/%E5%A4%A7%E5%A2%A9%E8%B7%AF%E5%8F%AF%E5%8F%A3%E7%89%9B%E8%82%89%E9%BA%B5/100063795400695/?mibextid=ZbWKwL
55,24.14868718,120.6667672,<i class='fas fa-utensils'></i>,#198754,好菜（西區）,仲夏梅子雞、老皮嫩牛肉,403臺中市西區模範街24巷2號,05 2305 2933,臺中市,西區,2299,4.2,https://www.facebook.com/kuisine889?fref=ts
56,24.26836127,120.5721343,<i class='fas fa-utensils'></i>,#198754,老士官?麵,?麵、炒手、酸辣豆腐,436臺中市清水區鎮南街81之12號,04 2623 8730,臺中市,清水區,2316,4.4,https://www.facebook.com/LSGnoodles
57,24.17665245,120.6425567,<i class='fas fa-utensils'></i>,#198754,裡小樓,鹽焗玉米雞腿、滷肉飯、金門老壇高梁香腸,407臺中市西屯區西屯路二段293巷50號,04 2452 5657,臺中市,西屯區,133,4.2,https://www.facebook.com/Gr.0424525657
58,24.14623331,120.6348705,<i class='fas fa-utensils'></i>,#198754,羅家古早味（南屯）,麻油土雞腿湯、麻油腰子,408臺中市南屯區向上路三段65號,04 2386 1557,臺中市,南屯區,1364,4.4,https://www.facebook.com/Luojiafood
59,22.99642675,120.2146374,<i class='fas fa-utensils'></i>,#198754,醉月樓,甜點、冰品,701臺南市東區大學路西段89號38樓,06 702 8856,臺南市,東區,2497,4.4,https://sltn.fareasternhotel.com.tw/tc/restaurant/shanghaipavilion
60,24.14985582,120.6957066,<i class='fas fa-utensils'></i>,#198754,木公麥面,榨菜肉絲麵、排骨麵、滷菜,40151臺中市東區富貴街37號,04 2360 7737,臺中市,東區,577,4.4,nan
61,24.15044501,120.6552307,<i class='fas fa-utensils'></i>,#198754,夜間部爌肉飯,爌肉飯、滷白菜、油豆腐、骨宰肉豬血湯,403臺中市西區精誠路109號,04 2320 0735,臺中市,西區,4655,4.2,https://www.facebook.com/gihtin.night?mibextid=ZbWKwL
62,24.26289486,120.8247561,<i class='fas fa-utensils'></i>,#198754,牛稼莊,蔥爆骨髓、涼拌肚王、苦瓜鹹蛋,423臺中市東勢區新豐街19號,04 2587 3488,臺中市,東勢區,2115,4,https://www.nioujiajuang.com.tw/
63,24.13966149,120.6800778,<i class='fas fa-utensils'></i>,#198754,上海未名麵點,豬排麵、烏梅汁,400臺中市中區市府路69號,04 2225 0377,臺中市,中區,1802,4,https://www.facebook.com/people/%E4%B8%8A%E6%B5%B7%E6%9C%AA%E5%90%8D%E9%BA%B5%E9%BB%9E%E9%85%B8%E6%A2%85%E6%B9%AF/100063837441054
64,24.14483522,120.7136959,<i class='fas fa-utensils'></i>,#198754,彭城堂,封肉刈包、川七炒牛肉、豬油拌飯,411臺中市太平區宜昌路377號,04 2351 1122,臺中市,太平區,4430,4.5,https://www.facebook.com/people/%E5%BD%AD%E5%9F%8E%E5%A0%82%E5%8F%B0%E8%8F%9C%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3/100057599141657/
65,24.13953496,120.6826833,<i class='fas fa-utensils'></i>,#198754,沁園春 （中區）,小籠包、肴肉、醉雞、鱔糊,400臺中市中區臺灣大道一段129號,04 2220 0735,臺中市,中區,3526,4.2,https://qin-yuan-chun1949.com/
66,24.20489602,120.6440954,<i class='fas fa-utensils'></i>,#198754,沙卡,燒酒雞、黃金軟絲,428臺中市大雅區中山路大同巷9弄7號,04 2566 5925,臺中市,大雅區,653,4.2,https://www.facebook.com/people/%E6%B2%99%E5%8D%A1%E7%87%92%E9%85%92%E9%9B%9E%E9%A4%90%E9%A4%A8%E5%83%85%E6%AD%A4%E4%B8%80%E5%AE%B6-%E5%88%A5%E7%84%A1%E5%88%86%E5%BA%97/100082999375412/
67,24.15116643,120.6357391,<i class='fas fa-utensils'></i>,#198754,滬舍餘味（南屯）,小籠包、蒸餃、燒賣,408臺中市南屯區公益路二段537號,04 2258 6111,臺中市,南屯區,2799,4.1,https://www.facebook.com/shanghaitop1
68,24.14820902,120.6683948,<i class='fas fa-utensils'></i>,#198754,馨苑 （西區）,芋奶鮮嫩雞骨球、菠蘿遇見櫻桃鴨、花枝槓上雞肉丸,403臺中市西區民生北路106號,04 2302 9989,臺中市,西區,4918,4.8,https://www.facebook.com/shinyuan106/menu
69,24.13446359,120.6825981,<i class='fas fa-utensils'></i>,#198754,臺中肉員,肉圓、魚丸湯、冬粉湯,402臺中市南區復興路三段529號,04 2220 7138,臺中市,南區,8649,4.2,nan
70,24.15350814,120.6489243,<i class='fas fa-utensils'></i>,#198754,小初店,滷肉飯、厚厚厚極品牛肉麵,408臺中市南屯區大業路243號,04 2310 0700,臺中市,南屯區,1910,4.4,https://www.facebook.com/people/%E5%B0%8F%E5%88%9D%E5%BA%97/100064106348736/
71,23.00005683,120.1922893,<i class='fas fa-utensils'></i>,#198754,阿星鹹粥,虱目魚鹹粥、乾拌虱目魚肚,700臺南市中西區民族路三段289號,06 220 0941,臺南市,中西區,2342,4.4,https://www.facebook.com/people/%E9%98%BF%E6%98%9F%E9%B9%B9%E7%B2%A5/100067569886400/
72,22.99048679,120.1960846,<i class='fas fa-utensils'></i>,#198754,阿文米粿,招牌米粿,700臺南市中西區保安路74號,0906 884 704,臺南市,中西區,1615,4.3,https://shop.ichefpos.com/store/CumnvslT/ordering
73,23.00452333,120.1937975,<i class='fas fa-utensils'></i>,#198754,阿興虱目魚,煎魚肚、虱目魚魚腸、蒜頭飯,704臺南市北區文賢路252號,06 350 4623,臺南市,北區,2137,4.6,https://www.facebook.com/AXingShiMuYuSuanTouFanGanMianXian
74,22.99475621,120.2041022,<i class='fas fa-utensils'></i>,#198754,阿美飯店,桂花干貝、洋燒花枝、肉米蝦,700臺南市中西區民權路二段98號,06 222 2848,臺南市,中西區,2056,4.2,https://www.amei.com.tw/
75,23.08265521,120.0630021,<i class='fas fa-utensils'></i>,#198754,黑琵食堂,文蛤、虱目魚、金沙軟絲,724臺南市七股區十份里海埔17之18號,0928 300 155,臺南市,七股區,1337,4.5,https://www.facebook.com/people/%E9%BB%91%E7%90%B5%E9%A3%9F%E5%A0%82/100063472256696/
76,22.99198054,120.2081825,<i class='fas fa-utensils'></i>,#198754,麥謎食驗室,剝皮辣椒、赤味噌、參巴醬、青木瓜,700臺南市中西區青年路90號1樓,nan,臺南市,中西區,156,4.7,https://www.facebook.com/buemilab/
77,23.23880149,120.110667,<i class='fas fa-utensils'></i>,#198754,田媽媽 長盈海味屋,虱目魚菲、三杯虱目魚香腸、黑糖碗粿、黑糖檸檬,727臺南市北門區484號,0917 549 736,臺南市,北門區,474,4.3,https://www.facebook.com/milkfish.dragon/info/?tab=page_info
78,22.9894587,120.1981138,<i class='fas fa-utensils'></i>,#198754,誠實鍋燒意麵,蛤蠣鍋燒,700臺南市中西區西門路一段702巷12號,0968 617 018,臺南市,中西區,1241,4.3,https://www.facebook.com/people/%E8%AA%A0%E5%AF%A6%E9%8D%8B%E7%87%92/100063835580292/
79,22.98983866,120.1933056,<i class='fas fa-utensils'></i>,#198754,大勇街無名鹹粥,鹹粥,700臺南市中西區大勇街85號,06 226 7028,臺南市,中西區,2805,4.4,https://www.facebook.com/groups/672206029621648/
80,23.06076395,120.1366606,<i class='fas fa-utensils'></i>,#198754,東香臺菜海味料理,思慕魚、草本白蝦,709臺南市安南區安中路六段217號,06 257 7343,臺南市,安南區,566,4.4,https://www.facebook.com/media/set/?vanity=dsseafood&set=a.811908240954154
81,22.99699407,120.2004951,<i class='fas fa-utensils'></i>,#198754,添厚,金銀蛋時蔬、魷魚螺肉蒜、菊花茶,700臺南市中西區新美街125巷3號,06 222 9109,臺南市,中西區,147,4.5,https://www.instagram.com/eattofat/?igshid=MzRlODBiNWFlZA%3D%3D
82,22.99585441,120.2051146,<i class='fas fa-utensils'></i>,#198754,福泰飯桌第三代,虱目魚柳、肉燥飯,700臺南市中西區民族路二段219號,06 221 8608,臺南市,中西區,1097,4.3,https://www.facebook.com/pages/%E7%A6%8F%E6%B3%B0%E7%AC%AC%E4%B8%89%E4%BB%A3%E9%A3%AF%E6%A1%8C/927712267259904
83,22.98158324,120.1959505,<i class='fas fa-utensils'></i>,#198754,好農家米糕,米糕、干貝白菜滷,702臺南市南區健康路二段66號,06 221 7181,臺南市,南區,309,4.4,https://www.facebook.com/goodricecake/
84,23.00152208,120.2074445,<i class='fas fa-utensils'></i>,#198754,西羅殿牛肉湯,牛腩湯、牛肝湯、綜合湯,704臺南市北區公園南路98號,06 229 4056,臺南市,北區,4191,4.6,https://www.facebook.com/people/%E8%A5%BF%E7%BE%85%E6%AE%BF%E7%89%9B%E8%82%89%E6%B9%AF/100064118881529/
85,23.0028066,120.1925711,<i class='fas fa-utensils'></i>,#198754,黃家蝦捲,蝦捲、薄蘿蔔片,700臺南市中西區西和路268號,0900 642 600,臺南市,中西區,1464,4.5,nan
86,22.99078593,120.1937768,<i class='fas fa-utensils'></i>,#198754,吃麵吧,炙燒牛舌松露醬拌麵、涼拌小菜、焦糖起司布丁,700臺南市中西區保安路159-1號,06 223 1665,臺南市,中西區,1196,4.2,https://www.facebook.com/JaiMiBa/
87,23.00810789,120.2214126,<i class='fas fa-utensils'></i>,#198754,開元紅燒土魠魚?,炸土魠魚皮、土魠魚羹,704臺南市北區開元路307號,06 237 3195,臺南市,北區,2719,4.2,https://www.facebook.com/people/%E9%96%8B%E5%85%83%E7%B4%85%E7%87%92%E5%9C%9F%E9%AD%A0%E9%AD%9A%E7%BE%AE/100048361886477/
88,22.9959902,120.2047217,<i class='fas fa-utensils'></i>,#198754,落成米糕,米糕、四神湯,700臺南市中西區民族路二段241號,06 228 0874,臺南市,中西區,1872,4.1,https://www.facebook.com/people/%E8%90%BD%E6%88%90%E7%B1%B3%E7%B3%95/100057108143489/
89,22.99135394,120.1945549,<i class='fas fa-utensils'></i>,#198754,無名羊肉湯,清湯、羊雜,700臺南市中西區府前路二段144號府前路跟康樂街交叉,nan,臺南市,中西區,1784,4.5,https://www.facebook.com/goat0113
90,22.99663804,120.2003572,<i class='fas fa-utensils'></i>,#198754,博仁堂,麻油麵線、冰糖百合銀耳,700臺南市中西區西門路二段300巷27號,06 222 6473,臺南市,中西區,978,4.3,https://www.facebook.com/pojenmedi?_rdr
91,22.98904437,120.2108837,<i class='fas fa-utensils'></i>,#198754,三好一公道當歸鴨,當歸鴨麵線、當歸鴨腿麵線,700臺南市中西區府前路一段2號,06 220 6858,臺南市,中西區,178,4.5,nan
92,23.01523838,120.2126726,<i class='fas fa-utensils'></i>,#198754,尚好吃牛肉湯,牛肉清湯、肉燥飯、熱炒牛肉料理,704臺南市北區北安路一段6號,06 281 2794,臺南市,北區,789,4.2,nan
93,22.98869766,120.2351639,<i class='fas fa-utensils'></i>,#198754,鮮蒸蝦仁肉圓,蝦仁肉圓、四神湯、香菇肉羹,701臺南市東區裕農路609號,06 236 4561,臺南市,東區,850,4.4,https://www.facebook.com/shianjheng/
94,22.99719234,120.1996186,<i class='fas fa-utensils'></i>,#198754,小公園擔仔麵,湯麵,700臺南市中西區西門路二段321號,06 226 5495,臺南市,中西區,1144,4.3,https://www.facebook.com/people/%E5%B0%8F%E5%85%AC%E5%9C%92%E6%93%94%E4%BB%94%E9%BA%B5/100054390226602/
95,22.99924032,120.1617822,<i class='fas fa-utensils'></i>,#198754,謝掌櫃,虱目魚海鮮總匯粥、鹽蒸石斑魚,708臺南市安平區運河路23巷5號運河路與古堡街口,06 221 3215,臺南市,安平區,618,4.6,https://www.facebook.com/people/%E8%AC%9D%E6%8E%8C%E6%AB%83-%E8%99%B1%E7%9B%AE%E9%AD%9A%E6%B5%B7%E9%AE%AE%E7%B2%A5/100054265941670/
96,22.99108728,120.1969561,<i class='fas fa-utensils'></i>,#198754,葉家小卷米粉,小卷米粉,700臺南市中西區國華街二段142號,06 222 6142,臺南市,中西區,4903,4.3,https://www.facebook.com/Yehjia142
97,22.99030384,120.2245131,<i class='fas fa-utensils'></i>,#198754,葉桑生炒鴨肉羹,鴨肉羹、鴨肉飯,701臺南市東區林森路二段216號,06 209 5895,臺南市,東區,226,4.6,https://www.facebook.com/people/%E8%91%89%E6%A1%91%E5%98%89%E7%BE%A9%E7%94%9F%E7%82%92%E9%B4%A8%E8%82%89%E7%BE%B9/100076698393543/
98,22.99756292,120.1989009,<i class='fas fa-utensils'></i>,#198754,一味品,碗粿、虱目魚魚羹,700臺南市中西區國華街三段177號,06 228 8563,臺南市,中西區,3095,4.4,https://www.facebook.com/onegoodpin/photos/a.455855754546489/454035211395210/?type=3&theater
99,22.99046118,120.196681,<i class='fas fa-utensils'></i>,#198754,八寶彬圓仔惠 （國華街）,圓仔、蜜芋頭、粉角,700臺南市中西區國華街二段99號,06 226 3432,臺南市,中西區,2554,4.2,https://www.facebook.com/ice8bao
100,23.23138796,120.1805096,<i class='fas fa-utensils'></i>,#198754,永通虱目魚粥,虱目魚粥,726臺南市學甲區民權路60號,06 783 9308,臺南市,學甲區,3169,4.2,https://www.dansmilkfish.com/
101,23.00031984,120.1950086,<i class='fas fa-utensils'></i>,#198754,筑馨居,無菜單套餐,700臺南市中西區信義街69號,0927 307 890,臺南市,中西區,1382,4.3,https://www.facebook.com/people/%E7%AD%91%E9%A6%A8%E5%B1%85/100063890740362/
102,22.63982785,120.3477504,<i class='fas fa-utensils'></i>,#198754,Apis Grill,紐西蘭鹿肉、鮑魚,807高雄市三民區褒揚東街80號,nan,高雄市,三民區,443,4.6,https://inline.app/booking/APIS/Grill
